Epoch,"0304_235058
whatsup_vlm_b_lr_autofill_remove_sun_rem_pho
trainable_parameters = [""attentions"", ""encoder_hid_proj""]
lr = 5e-4, num_objs=15",,"0305_020005
splitD","0305_154304
splitF","0305_205347
splitJ","0306_002255, 0306_103950
splitI","0306_025534
splitK","0305_114450, 0305_153941
splitG (top horizontal half)","0305_194724, 0306_111552
splitG (left vertical falf)","0305_030459
splitA","0305_015747
splitB","0305_165412, 0306_013442
splitH","0305_020237, 0306_090811
splitC","0305_215826, 0306_013341
splitE",,"0305_112918, 0305_202330
splitZ","0305_113043, 0305_192338
splitU","0305_164143
splitV","0305_130732, 0305_144009, 0305_153135
splitT","0305_113949, 0305_185313
splitW","0305_145926, 0305_174809
splitX"
199,,,16.82 tr acc = 27,15.82 tr acc = 32.14,8.67 tr acc = 41.07,19.55 tr acc = 25.32,15.25 tr acc = 34.78,,25 tr acc = 33.16,19.05 tr acc = 32.86,16.2 tr acc = 35.78,18.22 tr acc = 32.07,17.41 tr acc = 29.08,16.36 tr acc = 32.04,,6.24 tr acc = 59.18,19.52 tr acc = 56.19,6.94 tr acc = 51.47,4.24 tr acc = 61.41,12.95 tr acc = 50,12.15 tr acc = 52.43
399,,,18.64 tr acc = 33.5,15.81 tr acc = 30.8,10.71 tr acc = 37.5,16.92 tr acc = 43.51,27.12 tr acc = 39.67,,22.77 tr acc = 37.24,16.67 tr acc = 32.86,26.85 tr acc = 39.22,22.46 tr acc = 32.61,15.62 tr acc = 36.73,19.63 tr acc = 32.04,,8.04 tr acc = 68.37,16.19 tr acc = 64.29,10.65 tr acc = 65.2,3.81 tr acc = 72.83,10.71 tr acc = 69.9,9.35 tr acc = 62.14
599,,,17.27 tr acc = 34,20.92 tr acc = 40.62,8.16 tr acc = 44.2,29.7 tr acc = 37.66,24.15 tr acc = 41.3,,23.21 tr acc = 33.67,17.62 tr acc = 34.76,23.61 tr acc = 36.27,25 tr acc = 41.3,21.88 tr acc = 38.27,17.29 tr acc = 36.41,,3.12 tr acc = 83.67,14.29 tr acc = 63.33,12.96 tr acc = 70.59,6.78 tr acc = 71.74,14.73 tr acc = 76.53,8.41 tr acc = 66.5
799,,,19.55 tr acc = 47,13.27 tr acc = 40.62,10.71 tr acc = 43.75,29.32 tr acc = 31.82,23.31 tr acc = 40.22,,24.55 tr acc = 34.69,18.57 tr acc = 39.05,23.61 tr acc = 42.16,25 tr acc = 38.59,27.23 tr acc = 35.71,18.22 tr acc = 35.92,,4.46 tr acc = 95.92,18.57 tr acc = 94.76,12.5 tr acc = 76.96,4.24 tr acc = 73.91,14.73 tr acc = 86.22,8.88 tr acc = 66.02
999,,,26.82 tr acc = 43.5,20.92 tr acc = 39.29,12.24 tr acc = 45.98,28.2 tr acc = 37.66,30.51 tr acc = 37.5,,23.66 tr acc = 41.84,28.1 tr acc = 46.19,19.91 tr acc = 40.96,28.81 tr acc = 40.76,29.46 tr acc = 36.73,25.23 tr acc = 44.66,,3.12 tr acc = 94.90,17.14 tr acc = 94.29,24.07 tr acc = 92.16,3.39 tr acc = 85.33,18.3 tr acc = 95.92,15.89 tr acc = 82.52
1199,,,26.36 tr acc = 49.5,16.33 tr acc = 48.66,8.16 tr acc = 48.21,28.2 tr acc = 42.21,33.9 tr acc = 57.07,,27.68 tr acc = 55.61,33.33 tr acc = 73.81,30.09 tr acc = 40.22,29.66 tr acc = 46.2,29.46 tr acc = 44.39,25.23 tr acc = 40.29,,2.23 tr acc = 96.43,16.67 tr acc = 98.57,18.98 tr acc = 94.12,5.93 tr acc = 84.78,16.96 tr acc = 94.39,21.5 tr acc = 87.86
1399,,,25.91 tr acc = 43,20.92 tr acc = 71.43,4.59 tr acc = 43.75,30.83 tr acc = 41.56,44.49 tr acc = 80.98,,40.62 tr acc = 85.2,39.52 tr acc = 93.33,31.94 tr acc = 62.01,30.93 tr acc = 44.02,41.52 tr acc = 68.88,26.17 tr acc = 51.46,,2.23 tr acc = 98.47,16.67 tr acc = 98.57,16.67 tr acc = 91.67,8.05 tr acc = 88.59,20.09 tr acc = 94.9,27.1 tr acc = 97.09
1599,,,35 tr acc = 67.5,37.76 tr acc = 96.43,9.18 tr acc = 45.54,30.45 tr acc = 51.3,49.58 tr acc = 93.48,,41.52 tr acc = 95.41,49.05 tr acc = 93.33,34.49 tr acc = 69.85,31.78 tr acc = 47.83,48.66 tr acc = 89.8,34.11 tr acc = 58.25,,3.57 tr acc = 97.96,16.67 tr acc = 99.52,24.54 tr acc = 96.57,9.32 tr acc = 95.65,21.43 tr acc = 97.96,28.5 tr acc = 97.09
1799,,,44.55 tr acc = 85,38.78 tr acc = 95.09,8.16 tr acc = 48.66,44.74 tr acc = 62.99,61.86 tr acc = 96.74,,44.2 tr acc = 96.43,43.33 tr acc = 97.14,41.2 tr acc = 93.14,45.76 tr acc = 78.26,58.48 tr acc = 97.96,49.53 tr acc = 90.29,,2.23 tr acc = 96.94,17.62 tr acc = 99.52,21.3 tr acc = 91.67,9.32 tr acc = 94.02,25 tr acc = 100,28.04 tr acc = 91.75
1999,,,42.27 tr acc = 95.5,35.2 tr acc = 97.77,10.71 tr acc = 40.18,53.01 tr acc = 89.61,60.17 tr acc = 97.83,,45.09 tr acc = 97.45,48.57 tr acc = 98.1,46.53 tr acc = 96.81,47.88 tr acc = 90.76,58.93 tr acc = 98.98,49.53 tr acc = 88.83,,2.68 tr acc = 97.45,17.14 tr acc = 97.62,20.83 tr acc = 97.55,7.2 tr acc = 98.37,21.88 tr acc = 100,28.5 tr acc = 96.12
2199,,,45.45 tr acc = 97.5,40.31 tr acc = 98.66,9.69 tr acc = 51.79,53.01 tr acc = 94.81,59.75 tr acc = 98.37,,45.09 tr acc = 97.45,54.29 tr acc = 99.05,50.46 tr acc = 96.57,44.92 tr acc = 98.37,55.36 tr acc = 99.49,49.07 tr acc = 92.72,,18.75 tr acc = 96.94,16.19 tr acc = 99.05,25 tr acc = 93.14,9.75 tr acc = 98.37,24.11 tr acc = 97.96,23.36 tr acc = 99.03
2399,,,37.73 tr acc = 89.5,42.86 tr acc = 99.11,30.1 tr acc = 78.12,55.26 tr acc = 99.35,63.56 tr acc = 97.83,,45.09 tr acc = 98.47,52.86 tr acc = 98.57,53.24 tr acc = 96.08,46.19 tr acc = 86.96,44.2 tr acc = 96.43,47.66 tr acc = 95.15,,15.18 tr acc = 98.47,16.19 tr acc = 97.14,25.93 tr acc = 97.55,10.17 tr acc = 98.37,20.54 tr acc = 97.45,25.23 tr acc = 96.6
2599,,,48.18 tr acc = 99,41.84 tr acc = 97.32,36.22 tr acc = 95.98,53.01 tr acc = 96.75,60.59 tr acc = 97.83,,55.36 tr acc = 96.94,57.14 tr acc = 98.57,50.46 tr acc = 98.53,52.54 tr acc = 96.74,56.7 tr acc = 96.94,55.61 tr acc = 96.6,,17.41 tr acc = 98.98,16.19 tr acc = 98.1,12.04 tr acc = 89.71,7.63 tr acc = 97.83,21.88 tr acc = 97.96,28.04 tr acc = 97.57
2799,,,48.64 tr acc = 96.5,38.27 tr acc = 97.77,31.63 tr acc = 93.75,51.88 tr acc = 95.45,64.41 tr acc = 97.28,,48.66 tr acc = 98.47,48.57 tr acc = 97.14,52.31 tr acc = 95.59,45.34 tr acc = 95.65,54.02 tr acc = 98.47,47.66 tr acc = 98.06,,12.95 tr acc = 98.98,15.71 tr acc = 99.05,21.3 tr acc = 97.06,9.32 tr acc = 97.83,19.64 tr acc = 97.45,26.64 tr acc = 96.6
2999,,,42.27 tr acc = 92.5,39.29 tr acc = 97.32,32.65 tr acc = 95.09,57.14 tr acc = 98.05,63.56 tr acc = 99.46,,48.21 tr acc = 99.49,51.43 tr acc = 98.1,62.04 tr acc = 100,52.12 tr acc = 96.74,58.93 tr acc = 97.45,52.34 tr acc = 96.6,,11.16 tr acc = 98.98,16.67 tr acc = 99.52,23.15 tr acc = 97.55,9.75 tr acc = 97.28,20.09 tr acc = 96.94,22.43 tr acc = 98.06
3199,,,,,,59.4 tr acc = 99.35,54.24 tr acc = 97.83,,54.46 tr acc = 99.49,53.33 tr acc = 98.57,54.17 tr acc = 96.57,53.81 tr acc = 96.74,48.21 tr acc = 98.98,60.28 tr acc = 99.03,,,,,,,
3399,,,,,,58.27 tr acc = 87.66,57.2 tr acc = 96.2,,52.68 tr acc = 97.96,50 tr acc = 94.29,53.24 tr acc = 96.57,55.51 tr acc = 97.28,53.12 tr acc = 97.96,61.21 tr acc = 95.15,,,,,,,
3599,,,,,,63.16 tr acc = 98.05,54.24 tr acc = 95.65,,51.79 tr acc = 98.47,54.76 tr acc = 97.62,52.31 tr acc = 98.04,54.24 tr acc = 96.74,47.77 tr acc = 97.96,58.41 tr acc = 97.57,,,,,,,
3799,,,,,,63.53 tr acc = 96.1,52.54 tr acc = 98.91,,50.89 tr acc = 98.47,50.95 tr acc = 98.1,55.56 tr acc = 99.51,57.2 tr acc = 97.28,54.46 tr acc = 97.96,57.01 tr acc = 96.12,,,,,,,
3999,,,,,,61.28 tr acc = 98.05,56.78 tr acc = 98.37,,50.89 tr acc = 98.47,56.19 tr acc = 98.1,57.41 tr acc = 97.55,60.17 tr acc = 98.37,53.57 tr acc = 95.92,60.28 tr acc = 97.57,,,,,,,
4199,,,,,,61.65 tr acc = 99.35,56.78 tr acc = 98.91,,49.11 tr acc = 99.49,53.33 tr acc = 98.1,50.46 tr acc = 98.53,56.78 tr acc = 97.28,54.02 tr acc = 97.45,59.81 tr acc = 95.63,,,,,,,
4399,,,,,,65.04 tr acc = 98.05,61.02 tr acc = 98.37,,54.02 tr acc = 96.94,57.14 tr acc = 98.1,51.85 tr acc = 97.06,56.36 tr acc = 96.74,58.93 tr acc = 99.49,58.88 tr acc = 94.66,,,,,,,
4599,,,,,,60.53 tr acc = 99.35,56.78 tr acc = 98.37,,52.23 tr acc = 99.49,56.67 tr acc = 98.57,55.09 tr acc = 96.57,56.78 tr acc = 96.74,54.02 tr acc = 99.49,59.35 tr acc = 95.63,,,,,,,
4799,,,,,,59.77 tr acc = 98.05,54.24 tr acc = 97.28,,54.91 tr acc = 98.47,59.05 tr acc = 98.1,48.61 tr acc = 98.04,62.71 tr acc = 97.28,51.34 tr acc = 98.98,64.02 tr acc = 98.06,,,,,,,
4999,,,,,,63.91 tr acc = 96.75,57.63 tr acc = 98.37,,57.14 tr acc = 99.49,60 tr acc = 97.14,62.04 tr acc = 99.51,55.51 tr acc = 98.37,54.91 tr acc = 96.94,62.15 tr acc = 97.57,,,,,,,
5199,,,,,,61.65 tr acc = 96.75,55.51 tr acc = 98.91,,54.91 tr acc = 98.98,57.14 tr acc = 95.24,50 tr acc = 97.55,62.29 tr acc = 97.83,55.36 tr acc = 96.94,63.08 tr acc = 95.15,,,,,,,
5399,,,,,,56.77 tr acc = 97.4,54.66 tr acc = 98.37,,54.02 tr acc = 97.96,53.33 tr acc = 98.1,49.07 tr acc = 98.04,57.2 tr acc = 96.74,55.36 tr acc = 97.45,67.29 tr acc = 97.57,,,,,,,
5599,,,,,,60.9 tr acc = 95.45,55.08 tr acc = 97.28,,54.02 tr acc = 97.96,56.19 tr acc = 97.62,49.07 tr acc = 96.57,56.36 tr acc = 97.28,55.36 tr acc = 96.43,60.75 tr acc = 96.6,,,,,,,
5799,,,,,,59.77 tr acc = 98.05,53.81 tr acc = 96.74,,52.23 tr acc = 98.47,51.43 tr acc = 97.14,50.46 tr acc = 99.02,56.78 tr acc = 96.2,54.91 tr acc = 98.47,62.62 tr acc = 96.12,,,,,,,
5999,,,,,,60.15 tr acc = 96.75,54.66 tr acc = 98.91,,54.46 tr acc = 98.47,51.9 tr acc = 96.67,56.48 tr acc = 99.51,58.47 tr acc = 96.2,55.36 tr acc = 97.45,61.68 tr acc = 95.63,,,,,,,